Bundling 6%
Bundling 17%
Bundling 64%
Bundling 70%
Bundling 75%
Bundling 80%
Bundling 85%
Bundling 91%
Bundling 98%
Bundling 100%
Getting composition
Composition          Explainer
Codec                h264
Output               ../projects/import-china-india-te/renders/ch13.mp4
Concurrency          8x
Rendered 0/4051
Rendered 1/4051, time remaining: 48m 44s
Rendered 66/4051, time remaining: 2m 26s
Rendered 67/4051, time remaining: 2m 27s
Rendered 68/4051, time remaining: 2m 25s
Rendered 69/4051, time remaining: 2m 23s
Rendered 70/4051, time remaining: 2m 25s
Rendered 71/4051, time remaining: 2m 23s
Rendered 72/4051, time remaining: 2m 21s
Rendered 73/4051, time remaining: 2m 23s
Rendered 74/4051, time remaining: 2m 21s
Rendered 75/4051, time remaining: 2m 19s
Rendered 76/4051, time remaining: 2m 17s
Rendered 77/4051, time remaining: 2m 20s
Rendered 78/4051, time remaining: 2m 20s
Rendered 79/4051, time remaining: 2m 18s
Rendered 80/4051, time remaining: 2m 19s
Rendered 81/4051, time remaining: 2m 18s
Rendered 82/4051, time remaining: 2m 17s
Rendered 83/4051, time remaining: 2m 16s
Rendered 84/4051, time remaining: 2m 17s
Rendered 85/4051, time remaining: 2m 15s
Rendered 86/4051, time remaining: 2m 16s
Rendered 87/4051, time remaining: 2m 15s
Rendered 88/4051, time remaining: 2m 14s
Rendered 89/4051, time remaining: 2m 15s
Rendered 90/4051, time remaining: 2m 13s
Rendered 91/4051, time remaining: 2m 14s
Rendered 92/4051, time remaining: 2m 13s
Rendered 93/4051, time remaining: 2m 11s
Rendered 94/4051, time remaining: 2m 13s
Rendered 95/4051, time remaining: 2m 14s
Rendered 96/4051, time remaining: 2m 12s
Rendered 97/4051, time remaining: 2m 11s
Rendered 98/4051, time remaining: 2m 10s
Rendered 99/4051, time remaining: 2m 11s
Rendered 100/4051, time remaining: 2m 10s
Rendered 101/4051, time remaining: 2m 9s
Rendered 102/4051, time remaining: 2m 12s
Rendered 103/4051, time remaining: 2m 11s
Rendered 104/4051, time remaining: 2m 10s
Rendered 105/4051, time remaining: 2m 9s
Rendered 106/4051, time remaining: 2m 10s
Rendered 107/4051, time remaining: 2m 9s
Rendered 108/4051, time remaining: 2m 7s
Rendered 109/4051, time remaining: 2m 6s
Rendered 110/4051, time remaining: 2m 10s
Rendered 111/4051, time remaining: 2m 9s
Rendered 112/4051, time remaining: 2m 8s
Rendered 113/4051, time remaining: 2m 8s
Rendered 114/4051, time remaining: 2m 7s
Rendered 115/4051, time remaining: 2m 6s
Rendered 116/4051, time remaining: 2m 5s
Rendered 117/4051, time remaining: 2m 4s
Rendered 118/4051, time remaining: 2m 8s
Rendered 119/4051, time remaining: 2m 7s
Rendered 120/4051, time remaining: 2m 6s
Rendered 121/4051, time remaining: 2m 5s
Rendered 122/4051, time remaining: 2m 5s
Rendered 123/4051, time remaining: 2m 4s
Rendered 124/4051, time remaining: 2m 3s
Rendered 125/4051, time remaining: 2m 6s
Rendered 126/4051, time remaining: 2m 5s
Rendered 127/4051, time remaining: 2m 5s
Rendered 128/4051, time remaining: 2m 5s
Rendered 129/4051, time remaining: 2m 5s
Rendered 130/4051, time remaining: 2m 4s
Rendered 131/4051, time remaining: 2m 3s
Rendered 132/4051, time remaining: 2m 2s
Rendered 133/4051, time remaining: 2m 3s
Rendered 134/4051, time remaining: 2m 2s
Rendered 135/4051, time remaining: 2m 5s
Rendered 136/4051, time remaining: 2m 4s
Rendered 137/4051, time remaining: 2m 3s
Rendered 138/4051, time remaining: 2m 2s
Rendered 139/4051, time remaining: 2m 2s
Rendered 140/4051, time remaining: 2m 1s
Rendered 141/4051, time remaining: 2m 3s
Rendered 142/4051, time remaining: 2m 2s
Rendered 143/4051, time remaining: 2m 3s
Rendered 144/4051, time remaining: 2m 2s
Rendered 145/4051, time remaining: 2m 3s
Rendered 146/4051, time remaining: 2m 3s
Rendered 147/4051, time remaining: 2m 2s
Rendered 148/4051, time remaining: 2m 1s
Rendered 149/4051, time remaining: 2m 1s
Rendered 150/4051, time remaining: 2m 0s
Rendered 151/4051, time remaining: 1m 42s
Rendered 152/4051, time remaining: 1m 42s
Rendered 153/4051, time remaining: 1m 45s
Rendered 154/4051, time remaining: 1m 45s
Rendered 155/4051, time remaining: 1m 47s
Rendered 156/4051, time remaining: 1m 47s
Rendered 157/4051, time remaining: 1m 47s
Rendered 158/4051, time remaining: 1m 44s
Rendered 159/4051, time remaining: 1m 43s
Rendered 160/4051, time remaining: 1m 45s
Rendered 161/4051, time remaining: 1m 46s
Rendered 162/4051, time remaining: 1m 45s
Rendered 163/4051, time remaining: 1m 45s
Rendered 164/4051, time remaining: 1m 45s
Rendered 165/4051, time remaining: 1m 47s
Rendered 166/4051, time remaining: 1m 45s
Rendered 167/4051, time remaining: 1m 44s
Rendered 168/4051, time remaining: 1m 44s
Rendered 169/4051, time remaining: 1m 45s
Rendered 170/4051, time remaining: 1m 45s
Rendered 171/4051, time remaining: 1m 45s
Rendered 172/4051, time remaining: 1m 45s
Rendered 173/4051, time remaining: 1m 44s
Rendered 174/4051, time remaining: 1m 44s
Rendered 175/4051, time remaining: 1m 44s
Rendered 176/4051, time remaining: 1m 46s
Rendered 177/4051, time remaining: 1m 45s
Rendered 178/4051, time remaining: 1m 44s
Rendered 179/4051, time remaining: 1m 44s
Rendered 180/4051, time remaining: 1m 44s
Rendered 181/4051, time remaining: 1m 44s
Rendered 182/4051, time remaining: 1m 44s
Rendered 183/4051, time remaining: 1m 44s
Rendered 184/4051, time remaining: 1m 44s
Rendered 185/4051, time remaining: 1m 44s
Rendered 186/4051, time remaining: 1m 44s
Rendered 187/4051, time remaining: 1m 44s
Rendered 188/4051, time remaining: 1m 45s
Rendered 189/4051, time remaining: 1m 44s
Rendered 190/4051, time remaining: 1m 44s
Rendered 191/4051, time remaining: 1m 43s
Rendered 192/4051, time remaining: 1m 43s
Rendered 193/4051, time remaining: 1m 42s
Rendered 194/4051, time remaining: 1m 44s
Rendered 195/4051, time remaining: 1m 44s
Rendered 196/4051, time remaining: 1m 44s
Rendered 197/4051, time remaining: 1m 44s
Rendered 198/4051, time remaining: 1m 44s
Rendered 199/4051, time remaining: 1m 43s
Rendered 200/4051, time remaining: 1m 43s
Rendered 201/4051, time remaining: 1m 43s
Rendered 202/4051, time remaining: 1m 46s
Rendered 203/4051, time remaining: 1m 45s
Rendered 204/4051, time remaining: 1m 44s
Rendered 205/4051, time remaining: 1m 44s
Rendered 206/4051, time remaining: 1m 43s
Rendered 207/4051, time remaining: 1m 44s
Rendered 208/4051, time remaining: 1m 44s
Rendered 209/4051, time remaining: 1m 45s
Rendered 210/4051, time remaining: 1m 47s
Rendered 211/4051, time remaining: 1m 44s
Rendered 212/4051, time remaining: 1m 45s
Rendered 213/4051, time remaining: 1m 44s
Rendered 214/4051, time remaining: 1m 44s
Rendered 215/4051, time remaining: 1m 42s
Rendered 216/4051, time remaining: 1m 44s
Rendered 217/4051, time remaining: 1m 43s
Rendered 218/4051, time remaining: 1m 45s
Rendered 219/4051, time remaining: 1m 45s
Rendered 220/4051, time remaining: 1m 44s
Rendered 221/4051, time remaining: 1m 44s
Rendered 222/4051, time remaining: 1m 45s
Rendered 223/4051, time remaining: 1m 43s
Rendered 224/4051, time remaining: 1m 43s
Rendered 225/4051, time remaining: 1m 45s
Rendered 226/4051, time remaining: 1m 47s
Rendered 227/4051, time remaining: 1m 45s
Rendered 228/4051, time remaining: 1m 44s
Rendered 229/4051, time remaining: 1m 44s
Rendered 230/4051, time remaining: 1m 45s
Rendered 231/4051, time remaining: 1m 44s
Rendered 232/4051, time remaining: 1m 44s
Rendered 233/4051, time remaining: 1m 44s
Rendered 234/4051, time remaining: 1m 45s
Rendered 235/4051, time remaining: 1m 45s
Rendered 236/4051, time remaining: 1m 45s
Rendered 237/4051, time remaining: 1m 45s
Rendered 238/4051, time remaining: 1m 44s
Rendered 239/4051, time remaining: 1m 46s
Rendered 240/4051, time remaining: 1m 46s
Rendered 241/4051, time remaining: 1m 44s
Rendered 242/4051, time remaining: 1m 44s
Rendered 243/4051, time remaining: 1m 44s
Rendered 244/4051, time remaining: 1m 44s
Rendered 245/4051, time remaining: 1m 44s
Rendered 246/4051, time remaining: 1m 44s
Rendered 247/4051, time remaining: 1m 44s
Rendered 248/4051, time remaining: 1m 45s
Rendered 249/4051, time remaining: 1m 44s
Rendered 250/4051, time remaining: 1m 46s
Rendered 251/4051, time remaining: 1m 46s
Rendered 252/4051, time remaining: 1m 44s
Rendered 253/4051, time remaining: 1m 44s
Rendered 254/4051, time remaining: 1m 44s
Rendered 255/4051, time remaining: 1m 44s
Rendered 256/4051, time remaining: 1m 45s
Rendered 257/4051, time remaining: 1m 44s
Rendered 258/4051, time remaining: 1m 46s
Rendered 259/4051, time remaining: 1m 46s
Rendered 260/4051, time remaining: 1m 43s
Rendered 261/4051, time remaining: 1m 44s
Rendered 262/4051, time remaining: 1m 44s
Rendered 263/4051, time remaining: 1m 44s
Rendered 264/4051, time remaining: 1m 45s
Rendered 265/4051, time remaining: 1m 47s
Rendered 266/4051, time remaining: 1m 46s
Rendered 267/4051, time remaining: 1m 46s
Rendered 268/4051, time remaining: 1m 44s
Rendered 269/4051, time remaining: 1m 44s
Rendered 270/4051, time remaining: 1m 44s
Rendered 271/4051, time remaining: 1m 44s
Rendered 272/4051, time remaining: 1m 47s
Rendered 273/4051, time remaining: 1m 47s
Rendered 274/4051, time remaining: 1m 47s
Rendered 275/4051, time remaining: 1m 44s
Rendered 276/4051, time remaining: 1m 44s
Rendered 277/4051, time remaining: 1m 43s
Rendered 278/4051, time remaining: 1m 46s
Rendered 279/4051, time remaining: 1m 45s
Rendered 280/4051, time remaining: 1m 46s
Rendered 281/4051, time remaining: 1m 46s
Rendered 282/4051, time remaining: 1m 46s
Rendered 283/4051, time remaining: 1m 47s
Rendered 284/4051, time remaining: 1m 47s
Rendered 285/4051, time remaining: 1m 44s
Rendered 286/4051, time remaining: 1m 45s
Rendered 287/4051, time remaining: 1m 45s
Rendered 288/4051, time remaining: 1m 46s
Rendered 289/4051, time remaining: 1m 47s
Rendered 290/4051, time remaining: 1m 47s
Rendered 291/4051, time remaining: 1m 44s
Rendered 292/4051, time remaining: 1m 44s
Rendered 293/4051, time remaining: 1m 43s
Rendered 294/4051, time remaining: 1m 45s
Rendered 295/4051, time remaining: 1m 43s
Rendered 296/4051, time remaining: 1m 45s
Rendered 297/4051, time remaining: 1m 45s
Rendered 298/4051, time remaining: 1m 46s
Rendered 299/4051, time remaining: 1m 46s
Rendered 300/4051, time remaining: 1m 46s
Rendered 301/4051, time remaining: 1m 47s
Rendered 302/4051, time remaining: 1m 47s
Rendered 303/4051, time remaining: 1m 44s
Rendered 304/4051, time remaining: 1m 45s
Rendered 305/4051, time remaining: 1m 45s
Rendered 306/4051, time remaining: 1m 45s
Rendered 307/4051, time remaining: 1m 45s
Rendered 308/4051, time remaining: 1m 45s
Rendered 309/4051, time remaining: 1m 46s
Rendered 310/4051, time remaining: 1m 44s
Rendered 311/4051, time remaining: 1m 44s
Rendered 312/4051, time remaining: 1m 44s
Rendered 313/4051, time remaining: 1m 44s
Rendered 314/4051, time remaining: 1m 44s
Rendered 315/4051, time remaining: 1m 42s
Rendered 316/4051, time remaining: 1m 45s
Rendered 317/4051, time remaining: 1m 47s
Rendered 318/4051, time remaining: 1m 47s
Rendered 319/4051, time remaining: 1m 44s
Rendered 320/4051, time remaining: 1m 44s
Rendered 321/4051, time remaining: 1m 44s
Rendered 322/4051, time remaining: 1m 44s
Rendered 323/4051, time remaining: 1m 44s
Rendered 324/4051, time remaining: 1m 46s
Rendered 325/4051, time remaining: 1m 46s
Rendered 326/4051, time remaining: 1m 46s
Rendered 327/4051, time remaining: 1m 45s
Rendered 328/4051, time remaining: 1m 46s
Rendered 329/4051, time remaining: 1m 46s
Rendered 330/4051, time remaining: 1m 45s
Rendered 331/4051, time remaining: 1m 44s
Rendered 332/4051, time remaining: 1m 46s
Rendered 333/4051, time remaining: 1m 46s
Rendered 334/4051, time remaining: 1m 43s
Rendered 335/4051, time remaining: 1m 47s
Rendered 336/4051, time remaining: 1m 46s
Rendered 337/4051, time remaining: 1m 45s
Rendered 338/4051, time remaining: 1m 45s
Rendered 339/4051, time remaining: 1m 45s
Rendered 340/4051, time remaining: 1m 47s
Rendered 341/4051, time remaining: 1m 46s
Rendered 342/4051, time remaining: 1m 46s
Rendered 343/4051, time remaining: 1m 49s
Rendered 344/4051, time remaining: 1m 46s
Rendered 345/4051, time remaining: 1m 45s
Rendered 346/4051, time remaining: 1m 45s
Rendered 347/4051, time remaining: 1m 47s
Rendered 348/4051, time remaining: 1m 46s
Rendered 349/4051, time remaining: 1m 46s
Rendered 350/4051, time remaining: 1m 45s
Rendered 351/4051, time remaining: 1m 48s
Rendered 352/4051, time remaining: 1m 45s
Rendered 353/4051, time remaining: 1m 46s
Rendered 354/4051, time remaining: 1m 46s
Rendered 355/4051, time remaining: 1m 46s
Rendered 356/4051, time remaining: 1m 46s
Rendered 357/4051, time remaining: 1m 45s
Rendered 358/4051, time remaining: 1m 46s
Rendered 359/4051, time remaining: 1m 46s
Rendered 360/4051, time remaining: 1m 46s
Rendered 361/4051, time remaining: 1m 47s
Rendered 362/4051, time remaining: 1m 46s
Rendered 363/4051, time remaining: 1m 46s
Rendered 364/4051, time remaining: 1m 46s
Rendered 365/4051, time remaining: 1m 46s
Rendered 366/4051, time remaining: 1m 45s
Rendered 367/4051, time remaining: 1m 46s
Rendered 368/4051, time remaining: 1m 46s
Rendered 369/4051, time remaining: 1m 47s
Rendered 370/4051, time remaining: 1m 46s
Rendered 371/4051, time remaining: 1m 46s
Rendered 372/4051, time remaining: 1m 45s
Rendered 373/4051, time remaining: 1m 45s
Rendered 374/4051, time remaining: 1m 47s
Rendered 375/4051, time remaining: 1m 46s
Rendered 376/4051, time remaining: 1m 46s
Rendered 377/4051, time remaining: 1m 46s
Rendered 378/4051, time remaining: 1m 46s
Rendered 379/4051, time remaining: 1m 47s
Rendered 380/4051, time remaining: 1m 46s
Rendered 381/4051, time remaining: 1m 46s
Rendered 382/4051, time remaining: 1m 47s
Rendered 383/4051, time remaining: 1m 47s
Rendered 384/4051, time remaining: 1m 44s
Rendered 385/4051, time remaining: 1m 44s
Rendered 386/4051, time remaining: 1m 44s
Rendered 387/4051, time remaining: 1m 47s
Rendered 388/4051, time remaining: 1m 47s
Rendered 389/4051, time remaining: 1m 45s
Rendered 390/4051, time remaining: 1m 45s
Rendered 391/4051, time remaining: 1m 45s
Rendered 392/4051, time remaining: 1m 47s
Rendered 393/4051, time remaining: 1m 47s
Rendered 394/4051, time remaining: 1m 45s
Rendered 395/4051, time remaining: 1m 46s
Rendered 396/4051, time remaining: 1m 47s
Rendered 397/4051, time remaining: 1m 47s
Rendered 398/4051, time remaining: 1m 46s
Rendered 399/4051, time remaining: 1m 47s
Rendered 400/4051, time remaining: 1m 45s
Rendered 401/4051, time remaining: 1m 45s
Rendered 402/4051, time remaining: 1m 43s
Rendered 403/4051, time remaining: 1m 46s
Rendered 404/4051, time remaining: 1m 46s
Rendered 405/4051, time remaining: 1m 46s
Rendered 406/4051, time remaining: 1m 46s
Rendered 407/4051, time remaining: 1m 46s
Rendered 408/4051, time remaining: 1m 45s
Rendered 409/4051, time remaining: 1m 46s
Rendered 410/4051, time remaining: 1m 46s
Rendered 411/4051, time remaining: 1m 44s
Rendered 412/4051, time remaining: 1m 44s
Rendered 413/4051, time remaining: 1m 47s
Rendered 414/4051, time remaining: 1m 46s
Rendered 415/4051, time remaining: 1m 44s
Rendered 416/4051, time remaining: 1m 44s
Rendered 417/4051, time remaining: 1m 44s
Rendered 418/4051, time remaining: 1m 44s
Rendered 419/4051, time remaining: 1m 44s
Rendered 420/4051, time remaining: 1m 46s
Rendered 421/4051, time remaining: 1m 46s
Rendered 422/4051, time remaining: 1m 43s
Rendered 423/4051, time remaining: 1m 44s
Rendered 424/4051, time remaining: 1m 45s
Rendered 425/4051, time remaining: 1m 45s
Rendered 426/4051, time remaining: 1m 46s
Rendered 427/4051, time remaining: 1m 46s
Rendered 428/4051, time remaining: 1m 43s
Rendered 429/4051, time remaining: 1m 44s
Rendered 430/4051, time remaining: 1m 44s
Rendered 431/4051, time remaining: 1m 45s
Rendered 432/4051, time remaining: 1m 45s
Rendered 433/4051, time remaining: 1m 43s
Rendered 434/4051, time remaining: 1m 43s
Rendered 435/4051, time remaining: 1m 44s
Rendered 436/4051, time remaining: 1m 45s
Rendered 437/4051, time remaining: 1m 45s
Rendered 438/4051, time remaining: 1m 43s
Rendered 439/4051, time remaining: 1m 42s
Rendered 440/4051, time remaining: 1m 44s
Rendered 441/4051, time remaining: 1m 44s
Rendered 442/4051, time remaining: 1m 44s
Rendered 443/4051, time remaining: 1m 46s
Rendered 444/4051, time remaining: 1m 44s
Rendered 445/4051, time remaining: 1m 44s
Rendered 446/4051, time remaining: 1m 44s
Rendered 447/4051, time remaining: 1m 44s
Rendered 448/4051, time remaining: 1m 44s
Rendered 449/4051, time remaining: 1m 45s
Rendered 450/4051, time remaining: 1m 45s
Rendered 451/4051, time remaining: 1m 43s
Rendered 452/4051, time remaining: 1m 43s
Rendered 453/4051, time remaining: 1m 43s
Rendered 454/4051, time remaining: 1m 44s
Rendered 455/4051, time remaining: 1m 42s
Rendered 456/4051, time remaining: 1m 43s
Rendered 457/4051, time remaining: 1m 45s
Rendered 458/4051, time remaining: 1m 46s
Rendered 459/4051, time remaining: 1m 43s
Rendered 460/4051, time remaining: 1m 43s
Rendered 461/4051, time remaining: 1m 43s
Rendered 462/4051, time remaining: 1m 43s
Rendered 463/4051, time remaining: 1m 43s
Rendered 464/4051, time remaining: 1m 43s
Rendered 465/4051, time remaining: 1m 44s
Rendered 466/4051, time remaining: 1m 42s
Rendered 467/4051, time remaining: 1m 40s
Rendered 468/4051, time remaining: 1m 40s
Rendered 469/4051, time remaining: 1m 41s
Rendered 470/4051, time remaining: 1m 41s
Rendered 471/4051, time remaining: 1m 41s
Rendered 472/4051, time remaining: 1m 40s
Rendered 473/4051, time remaining: 1m 39s
Rendered 474/4051, time remaining: 1m 37s
Rendered 475/4051, time remaining: 1m 38s
Rendered 476/4051, time remaining: 1m 36s
Rendered 477/4051, time remaining: 1m 36s
Rendered 478/4051, time remaining: 1m 35s
Rendered 479/4051, time remaining: 1m 35s
Rendered 480/4051, time remaining: 1m 35s
Rendered 481/4051, time remaining: 1m 36s
Rendered 482/4051, time remaining: 1m 34s
Rendered 483/4051, time remaining: 1m 34s
Rendered 484/4051, time remaining: 1m 37s
Rendered 485/4051, time remaining: 1m 34s
Rendered 486/4051, time remaining: 1m 35s
Rendered 487/4051, time remaining: 1m 35s
Rendered 488/4051, time remaining: 1m 35s
Rendered 489/4051, time remaining: 1m 35s
Rendered 490/4051, time remaining: 1m 33s
Rendered 491/4051, time remaining: 1m 34s
Rendered 492/4051, time remaining: 1m 36s
Rendered 493/4051, time remaining: 1m 34s
Rendered 494/4051, time remaining: 1m 34s
Rendered 495/4051, time remaining: 1m 35s
Rendered 496/4051, time remaining: 1m 35s
Rendered 497/4051, time remaining: 1m 33s
Rendered 498/4051, time remaining: 1m 33s
Rendered 499/4051, time remaining: 1m 34s
Rendered 500/4051, time remaining: 1m 36s
Rendered 501/4051, time remaining: 1m 33s
Rendered 502/4051, time remaining: 1m 34s
Rendered 503/4051, time remaining: 1m 33s
Rendered 504/4051, time remaining: 1m 35s
Rendered 505/4051, time remaining: 1m 35s
Rendered 506/4051, time remaining: 1m 35s
Rendered 507/4051, time remaining: 1m 35s
Rendered 508/4051, time remaining: 1m 35s
Rendered 509/4051, time remaining: 1m 36s
Rendered 510/4051, time remaining: 1m 34s
Rendered 511/4051, time remaining: 1m 34s
Rendered 512/4051, time remaining: 1m 35s
Rendered 513/4051, time remaining: 1m 35s
Rendered 514/4051, time remaining: 1m 35s
Rendered 515/4051, time remaining: 1m 34s
Rendered 516/4051, time remaining: 1m 37s
Rendered 517/4051, time remaining: 1m 37s
Rendered 518/4051, time remaining: 1m 34s
Rendered 519/4051, time remaining: 1m 34s
Rendered 520/4051, time remaining: 1m 34s
Rendered 521/4051, time remaining: 1m 34s
Rendered 522/4051, time remaining: 1m 34s
Rendered 523/4051, time remaining: 1m 35s
Rendered 524/4051, time remaining: 1m 35s
Rendered 525/4051, time remaining: 1m 36s
Rendered 526/4051, time remaining: 1m 34s
Rendered 527/4051, time remaining: 1m 34s
Rendered 528/4051, time remaining: 1m 34s
Rendered 529/4051, time remaining: 1m 32s
Rendered 530/4051, time remaining: 1m 33s
Rendered 531/4051, time remaining: 1m 33s
Rendered 532/4051, time remaining: 1m 34s
Rendered 533/4051, time remaining: 1m 34s
Rendered 534/4051, time remaining: 1m 34s
Rendered 535/4051, time remaining: 1m 34s
Rendered 536/4051, time remaining: 1m 35s
Rendered 537/4051, time remaining: 1m 33s
Rendered 538/4051, time remaining: 1m 34s
Rendered 539/4051, time remaining: 1m 34s
Rendered 540/4051, time remaining: 1m 34s
Rendered 541/4051, time remaining: 1m 34s
Rendered 542/4051, time remaining: 1m 33s
Rendered 543/4051, time remaining: 1m 33s
Rendered 544/4051, time remaining: 1m 33s
Rendered 545/4051, time remaining: 1m 35s
Rendered 546/4051, time remaining: 1m 34s
Rendered 547/4051, time remaining: 1m 33s
Rendered 548/4051, time remaining: 1m 34s
Rendered 549/4051, time remaining: 1m 33s
Rendered 550/4051, time remaining: 1m 33s
Rendered 551/4051, time remaining: 1m 33s
Rendered 552/4051, time remaining: 1m 34s
Rendered 553/4051, time remaining: 1m 35s
Rendered 554/4051, time remaining: 1m 35s
Rendered 555/4051, time remaining: 1m 35s
Rendered 556/4051, time remaining: 1m 33s
Rendered 557/4051, time remaining: 1m 33s
Rendered 558/4051, time remaining: 1m 35s
Rendered 559/4051, time remaining: 1m 33s
Rendered 560/4051, time remaining: 1m 34s
Rendered 561/4051, time remaining: 1m 34s
Rendered 562/4051, time remaining: 1m 35s
Rendered 563/4051, time remaining: 1m 33s
Rendered 564/4051, time remaining: 1m 33s
Rendered 565/4051, time remaining: 1m 34s
Rendered 566/4051, time remaining: 1m 36s
Rendered 567/4051, time remaining: 1m 35s
Rendered 568/4051, time remaining: 1m 34s
Rendered 569/4051, time remaining: 1m 34s
Rendered 570/4051, time remaining: 1m 32s
Rendered 571/4051, time remaining: 1m 33s
Rendered 572/4051, time remaining: 1m 34s
Rendered 573/4051, time remaining: 1m 32s
Rendered 574/4051, time remaining: 1m 34s
Rendered 575/4051, time remaining: 1m 34s
Rendered 576/4051, time remaining: 1m 33s
Rendered 577/4051, time remaining: 1m 33s
Rendered 578/4051, time remaining: 1m 33s
Rendered 579/4051, time remaining: 1m 32s
Rendered 580/4051, time remaining: 1m 32s
Rendered 581/4051, time remaining: 1m 33s
Rendered 582/4051, time remaining: 1m 34s
Rendered 583/4051, time remaining: 1m 34s
Rendered 584/4051, time remaining: 1m 34s
Rendered 585/4051, time remaining: 1m 34s
Rendered 586/4051, time remaining: 1m 32s
Rendered 587/4051, time remaining: 1m 32s
Rendered 588/4051, time remaining: 1m 33s
Rendered 589/4051, time remaining: 1m 34s
Rendered 590/4051, time remaining: 1m 33s
Rendered 591/4051, time remaining: 1m 35s
Rendered 592/4051, time remaining: 1m 34s
Rendered 593/4051, time remaining: 1m 33s
Rendered 594/4051, time remaining: 1m 33s
Rendered 595/4051, time remaining: 1m 34s
Rendered 596/4051, time remaining: 1m 34s
Rendered 597/4051, time remaining: 1m 34s
Rendered 598/4051, time remaining: 1m 33s
Rendered 599/4051, time remaining: 1m 32s
Rendered 600/4051, time remaining: 1m 32s
Rendered 601/4051, time remaining: 1m 32s
Rendered 602/4051, time remaining: 1m 35s
Rendered 603/4051, time remaining: 1m 35s
Rendered 604/4051, time remaining: 1m 33s
Rendered 605/4051, time remaining: 1m 34s
Rendered 606/4051, time remaining: 1m 33s
Rendered 607/4051, time remaining: 1m 34s
Rendered 608/4051, time remaining: 1m 32s
Rendered 609/4051, time remaining: 1m 32s
Rendered 610/4051, time remaining: 1m 34s
Rendered 611/4051, time remaining: 1m 34s
Rendered 612/4051, time remaining: 1m 33s
Rendered 613/4051, time remaining: 1m 33s
Rendered 614/4051, time remaining: 1m 35s
Rendered 615/4051, time remaining: 1m 33s
Rendered 616/4051, time remaining: 1m 33s
Rendered 617/4051, time remaining: 1m 33s
Rendered 618/4051, time remaining: 1m 36s
Rendered 619/4051, time remaining: 1m 36s
Rendered 620/4051, time remaining: 1m 36s
Rendered 621/4051, time remaining: 1m 36s
